title,url,date
О внедрении искусственного интеллекта в жилищный фонд на Кубани,https://kuban.plus.rbc.ru/news/659eb7257a8aa9896e1bfc8f,12.01.2024 15:12
«Ведомости» узнали о 43 млн неправильно оформленных сим-карт,https://www.rbc.ru/society/12/01/2024/65a0fbb99a794713d7226856,12.01.2024 13:12
Вологжане больше всех в СЗФО общались по телефону в новогодние каникулы,https://vo.rbc.ru/vo/12/01/2024/65a0f6709a7947b6d2fa2caf,12.01.2024 11:22
РБК ТВ Юг: Наиболее продаваемым автомобилем на Юге стала Lada,https://rostov.rbc.ru/rostov/freenews/659ee6269a794789d8daa8e3,11.01.2024 06:50
РБК ТВ Юг: Наиболее продаваемым автомобилем на Юге стала Lada,https://kavkaz.rbc.ru/kavkaz/freenews/659ee6b59a794758dea1a489,11.01.2024 06:50
РБК ТВ Юг: Наиболее продаваемым автомобилем на Юге стала Lada,https://kuban.rbc.ru/krasnodar/freenews/659ee5919a79474422140d4c,11.01.2024 06:50
Тюменцы стали отдавать предпочтение китайским смартфонам,https://t.rbc.ru/tyumen/11/01/2024/659e26159a7947a82620871a,11.01.2024 05:15
Как будет развиваться рынок рекламы в 2024 году,https://trends.rbc.ru/trends/social/658ec7919a79479589136efd,09.01.2024 12:42
Только треть онлайн-платформ в России доступны людям с нарушениями зрения,https://trends.rbc.ru/trends/social/65aa640e9a79476544862215,19.01.2024 16:42
Об опыте реализации проекта аналитики турпотоков в Краснодарском крае,https://kuban.plus.rbc.ru/news/65a7eb797a8aa90119d66786,19.01.2024 12:01
Тюменцы для новогоднего отдыха чаще выбирали азиатские страны,https://t.rbc.ru/tyumen/19/01/2024/65a933e79a7947fe842794db,19.01.2024 06:05
Вотчину Деда Мороза в каникулы чаще всего посещали жители Москвы и Кирова,https://vo.rbc.ru/vo/18/01/2024/65a8f4629a7947dfb71be123,18.01.2024 12:52
РБК ТВ Юг: Доля туризма в ВВП на Юге вдвое выше средних показателей по РФ,https://rostov.rbc.ru/rostov/freenews/65a7f8d09a7947fa61e1c187,18.01.2024 06:50
РБК ТВ Юг: Доля туризма в ВВП на Юге вдвое выше средних показателей по РФ,https://kuban.rbc.ru/krasnodar/freenews/65a7f7999a7947e9680d4dd0,18.01.2024 06:50
РБК ТВ Юг: Доля туризма в ВВП на Юге вдвое выше средних показателей по РФ,https://kavkaz.rbc.ru/kavkaz/freenews/65a7f9369a794760242cd36c,18.01.2024 06:50
Samsung представил новые флагманы с искусственным интеллектом,https://www.rbc.ru/technology_and_media/17/01/2024/65a7f73e9a7947e9680d4dc9,17.01.2024 21:30
